CUSTOMER_ID,LOYALTY_SCORE,PRODUCT_ID,PRODUCT_CATEGORY,PURCHASE_COUNT
C6,10,P52,food,31
C6,10,P51,food,31
C6,10,P59,food,31
C10,5,P12,house,103
C10,5,P05,house,103
C33,5,P08,house,39
C33,5,P12,house,39
C33,5,P09,house,39
C34,3,P23,fruit_veg,66
C34,3,P24,fruit_veg,66
C35,7,P17,clothes,46
C39,2,P51,food,82
C46,5,P64,bws,59
C46,5,P66,bws,59
C46,5,P64,bws,59
C53,4,P27,fruit_veg,78
C53,4,P27,fruit_veg,78
C53,4,P23,fruit_veg,78
C56,4,P31,fruit_veg,49
C56,4,P34,fruit_veg,49
C73,2,P52,food,96
C73,2,P57,food,96
C77,9,P64,bws,55
C77,9,P65,bws,55
C78,9,P41,food,99
C78,9,P48,food,99
C95,7,P04,house,37
C96,10,P27,fruit_veg,50
C96,10,P33,fruit_veg,50
C101,2,P29,fruit_veg,63
C101,2,P27,fruit_veg,63
C101,2,P27,fruit_veg,63
C121,10,P38,sweets,41
C121,10,P36,sweets,41
C121,10,P36,sweets,41
C131,4,P14,clothes,89
C131,4,P14,clothes,89
C137,9,P55,food,116
C3,8,P04,house,48
C3,8,P08,house,48
C11,4,P10,house,110
C19,6,P44,food,49
C23,10,P02,house,50
C25,9,P24,fruit_veg,124
C25,9,P30,fruit_veg,124
C29,7,P05,house,82
C29,7,P06,house,82
C29,7,P10,house,82
C35,7,P63,bws,46
C35,7,P66,bws,46
C35,7,P66,bws,46
C42,2,P35,sweets,36
C42,2,P36,sweets,36
C42,2,P40,sweets,36
C49,7,P44,food,52
C53,4,P39,sweets,78
C53,4,P40,sweets,78
C57,2,P36,sweets,67
C76,10,P59,food,62
C76,10,P51,food,62
C78,9,P47,food,99
C78,9,P56,food,99
C78,9,P46,food,99
C79,1,P28,fruit_veg,60
C79,1,P34,fruit_veg,60
C79,1,P22,fruit_veg,60
C84,1,P33,fruit_veg,54
C110,3,P48,food,34
C110,3,P57,food,34
C112,3,P49,food,108
C112,3,P57,food,108
C113,5,P65,bws,56
C113,5,P65,bws,56
C116,5,P05,house,27
C118,7,P46,food,54
C122,10,P44,food,125
C122,10,P49,food,125
C122,10,P48,food,125
C132,7,P31,fruit_veg,41
C4,5,P08,house,38
C4,5,P08,house,38
C4,5,P08,house,38
C21,5,P27,fruit_veg,63
C21,5,P32,fruit_veg,63
C24,6,P37,sweets,109
C24,6,P36,sweets,109
C24,6,P40,sweets,109
C27,10,P39,sweets,95
C27,10,P36,sweets,95
C27,10,P39,sweets,95
C32,3,P63,bws,37
C32,3,P62,bws,37
C32,3,P63,bws,37
C40,4,P35,sweets,45
C40,4,P37,sweets,45
C40,4,P36,sweets,45
C44,9,P30,fruit_veg,59
C44,9,P27,fruit_veg,59
C53,4,P35,sweets,78
C53,4,P38,sweets,78
C60,10,P56,food,77
C60,10,P48,food,77
C75,8,P44,food,52
C75,8,P45,food,52
C76,10,P34,fruit_veg,62
C76,10,P32,fruit_veg,62
C76,10,P31,fruit_veg,62
C80,9,P10,house,73
C80,9,P07,house,73
C80,9,P12,house,73
C81,7,P01,house,42
C84,1,P36,sweets,54
C88,1,P55,food,114
C88,1,P55,food,114
C88,1,P57,food,114
C102,1,P25,fruit_veg,41
C111,1,P39,sweets,54
C111,1,P36,sweets,54
C112,3,P59,food,108
C114,3,P25,fruit_veg,21
C114,3,P27,fruit_veg,21
C5,7,P24,fruit_veg,37
C5,7,P31,fruit_veg,37
C5,7,P33,fruit_veg,37
C6,10,P65,bws,31
C6,10,P63,bws,31
C6,10,P62,bws,31
C14,3,P22,fruit_veg,42
C14,3,P28,fruit_veg,42
C17,2,P47,food,115
C17,2,P48,food,115
C17,2,P58,food,115
C18,8,P05,house,35
C20,2,P28,fruit_veg,61
C20,2,P27,fruit_veg,61
C20,2,P34,fruit_veg,61
C21,5,P34,fruit_veg,63
C21,5,P31,fruit_veg,63
C21,5,P31,fruit_veg,63
C25,9,P28,fruit_veg,124
C25,9,P34,fruit_veg,124
C28,3,P52,food,94
C28,3,P41,food,94
C28,3,P53,food,94
C44,9,P22,fruit_veg,59
C61,4,P40,sweets,37
C61,4,P37,sweets,37
C61,4,P37,sweets,37
C66,10,P33,fruit_veg,96
C68,8,P58,food,32
C68,8,P46,food,32
C71,8,P12,house,49
C75,8,P49,food,52
C88,1,P12,house,114
C88,1,P06,house,114
C103,7,P61,bws,36
C107,3,P64,bws,114
C111,1,P64,bws,54
C111,1,P66,bws,54
C111,1,P64,bws,54
C117,10,P29,fruit_veg,41
C118,7,P47,food,54
C118,7,P52,food,54
C123,3,P49,food,59
C130,7,P48,food,89
C130,7,P51,food,89
C131,4,P35,sweets,89
C131,4,P36,sweets,89
C137,9,P57,food,116
C137,9,P42,food,116
C2,4,P12,house,78
C2,4,P07,house,78
C13,8,P57,food,30
C13,8,P48,food,30
C14,3,P24,fruit_veg,42
C14,3,P29,fruit_veg,42
C23,10,P08,house,50
C23,10,P01,house,50
C24,6,P10,house,109
C39,2,P50,food,82
C39,2,P41,food,82
C40,4,P40,sweets,45
C57,2,P35,sweets,67
C57,2,P35,sweets,67
C61,4,P38,sweets,37
C61,4,P35,sweets,37
C61,4,P40,sweets,37
C68,8,P09,house,32
C68,8,P12,house,32
C68,8,P06,house,32
